query_id,original_id,num_relevant,query_length_tokens,AP_VSM,AP_BM25,delta_AP,P@10_VSM,P@10_BM25,query_text
202,314,14,11,0.122113,0.204144,0.082031,0.200000,0.300000,"how accurate are existing analytical theories in estimating pressure distributions on cones at incidence, at hypersonic speeds ."
203,315,14,8,0.080799,0.140783,0.059984,0.100000,0.200000,are simple empirical methods of any use for estimating pressure distribution in cones .
204,316,14,6,0.046577,0.044248,-0.002330,0.100000,0.000000,do viscous effects seriously modify pressure distributions .
205,317,2,10,0.326923,0.700000,0.373077,0.100000,0.200000,has anyone investigated theoretically whether surface flexibility can stabilize a laminar boundary layer .
206,321,3,15,0.245915,0.264093,0.018178,0.200000,0.200000,how do subsonic and transonic flutter data measured in the new langley transonic dynamics tunnel compare with similar data obtained in other facilities .
207,323,5,10,0.335127,0.197589,-0.137538,0.300000,0.200000,how do large changes in new mass ratio quantitatively affect wing-flutter boundaries .
208,327,6,16,0.514886,0.682937,0.168050,0.400000,0.600000,what is the effect of the shape of the drag polar of a lifting spacecraft on the amount of reduction in maximum deceleration obtainable by continuously varying the aerodynamic coefficients during re-entry .
209,331,12,9,0.089767,0.141371,0.051604,0.100000,0.200000,what are the physical significance and characteristics of separated laminar and turbulent boundary layer flows .
210,332,6,17,0.335224,0.342266,0.007042,0.200000,0.200000,has anyone analytically investigated the stabilizing influence of soft elastic cores on the buckling strength of cylindrical shells subjected to non-uniform external pressure .
211,333,11,9,0.119270,0.136094,0.016824,0.100000,0.100000,what papers are available on the buckling of empty cylindrical shells under non-uniform pressure .
212,335,14,9,0.457855,0.497536,0.039681,0.500000,0.600000,what effect do thermal stresses have on the compressive buckling strength of ring-stiffened cylinders .
213,336,11,9,0.418564,0.581716,0.163152,0.500000,0.500000,what is the effect on cylinder buckling of a circumferential stress system that varies in the axial direction .
214,338,4,10,0.172261,0.157475,-0.014786,0.100000,0.100000,can non-linear shallow shell analysis be reduced to an engineering technique by use of the matrix .
215,339,2,13,0.041888,0.048199,0.006311,0.000000,0.000000,is it possible to predict the shape of a shroud which will allow simulation of the nose region flow field for a sphere in hypersonic flow .
216,340,1,10,0.002257,0.002604,0.000347,0.000000,0.000000,what investigations have been made of the wave system created by a static pressure distribution over a liquid surface .
217,347,15,10,0.285838,0.304292,0.018455,0.500000,0.400000,has anyone investigated the effect of shock generated vorticity on heat transfer to a blunt body .
218,348,15,6,0.144565,0.328299,0.183734,0.100000,0.300000,what is the heat transfer to a blunt body in the absence of vorticity .
219,349,18,7,0.044594,0.037425,-0.007169,0.000000,0.000000,what are the general effects on flow fields when the reynolds number is small .
220,352,19,15,0.082024,0.203047,0.121023,0.000000,0.300000,find a calculation procedure applicable to all incompressible laminar boundary layer flow problems having good accuracy and reasonable computation time .
221,353,18,11,0.109032,0.237413,0.128382,0.200000,0.300000,papers applicable to this problem (calculation procedures for laminar incompressible flow with arbitrary pressure gradient) .
222,355,9,6,0.632830,0.778951,0.146121,0.500000,0.600000,has anyone investigated the shear buckling of stiffened plates .
223,356,4,7,0.191071,0.461275,0.270203,0.200000,0.300000,papers on shear buckling of unstiffened rectangular plates under shear .
224,360,8,14,0.079815,0.134549,0.054734,0.000000,0.100000,"in practice, how close to reality are the assumptions that the flow in a hypersonic shock tube using nitrogen is non-viscous and in thermodynamic equilibrium ."
225,365,24,9,0.100727,0.087623,-0.013104,0.200000,0.300000,what design factors can be used to control lift-drag ratios at mach numbers above 5 .
